Symbol,Identifier,Open,DayHigh,DayLow,LastPrice,PreviousClose,Change,pChange,YearHigh,YearLow,TotalTradedVolume,TotalTradedValue,NearWKH,NearWKL,PerChange365d,Date365dAgo,Date30dAgo,PerChange30d
ADANIENT,ADANIENTEQN,2493,2514,2460.55,2502.9,2481.1,21.8,0.88,4190,1017.45,1157213,2889803876,40.26491647,-145.9973463,-6.73,01-Aug-22,30-Jun-23,3.9
ADANIPORTS,ADANIPORTSEQN,767,773.9,758.7,763.8,765.35,-1.55,-0.2,987.85,395.1,1484030,1138814941,22.68056891,-93.3181473,-4.48,01-Aug-22,30-Jun-23,3.53
APOLLOHOSP,APOLLOHOSPEQN,5033,5043.7,4990.05,5011.05,5032.4,-21.35,-0.42,5364,3987.85,192101,963421093.2,6.579977629,-25.65793598,17.36,01-Aug-22,30-Jun-23,-1.29
ASIANPAINT,ASIANPAINTEQN,3341.2,3364.5,3330.65,3352.05,3342.95,9.1,0.27,3582.9,2685.85,225696,755673090.2,6.443104748,-24.80406575,0.55,01-Aug-22,30-Jun-23,-0.57
AXISBANK,AXISBANKEQN,951.5,958.9,946.6,947.35,959.9,-12.55,-1.31,990,707.7,1841272,1754032533,4.308080808,-33.86321888,31.35,01-Aug-22,30-Jun-23,-2.79
BAJAJ-AUTO,BAJAJ-AUTOEQN,4913.4,4937.95,4852.6,4857.4,4923.95,-66.55,-1.35,4995.1,3461.25,85252,418093710.9,2.756701568,-40.3365836,23.93,01-Aug-22,30-Jun-23,4.95
BAJAJFINSV,BAJAJFINSVEQN,1572,1572.35,1545.2,1547.9,1572.35,-24.45,-1.55,1844,1215,522760,813503429.2,16.05748373,-27.39917695,-89.57,01-Aug-22,30-Jun-23,2.9
BAJFINANCE,BAJFINANCEEQN,7290,7290,7191,7195.9,7269.7,-73.8,-1.02,7999.9,5485.7,259358,1874035320,10.05012563,-31.17560202,0.12,01-Aug-22,30-Jun-23,1.52
BHARTIARTL,BHARTIARTLEQN,883.2,890.65,882.45,883.9,891.65,-7.75,-0.87,901.4,677.05,620727,550013780.2,1.941424451,-30.55165793,28.4,01-Aug-22,30-Jun-23,1.47
BPCL,BPCLEQN,377.8,378.7,371.35,371.5,377.5,-6,-1.59,397.9,288.05,1185725,443982869,6.634832873,-28.97066482,12.97,01-Aug-22,30-Jun-23,3.51
BRITANNIA,BRITANNIAEQN,4839,4839,4781.3,4800,4817.35,-17.35,-0.36,5270.35,3564.1,144585,694548747.9,8.924454733,-34.67635588,24.94,01-Aug-22,30-Jun-23,-4.12
CIPLA,CIPLAEQN,1185,1185,1161.1,1162.15,1178.35,-16.2,-1.37,1219.4,852,652544,761740713,4.694931934,-36.40258216,17.3,01-Aug-22,30-Jun-23,16.1
COALINDIA,COALINDIAEQN,241.15,243.15,236.4,236.55,240.35,-3.8,-1.58,263.4,205.75,10077484,2427968220,10.19362187,-14.96962333,12.97,01-Aug-22,30-Jun-23,4.05
DIVISLAB,DIVISLABEQN,3630,3689.85,3577.05,3666.9,3639.5,27.4,0.75,3973.9,2730,339555,1233739137,7.725408289,-34.31868132,-4.1,01-Aug-22,30-Jun-23,1.56
DRREDDY,DRREDDYEQN,5667.1,5695.85,5641.8,5660,5667.05,-7.05,-0.12,5709.35,3997,128058,726429494.3,0.864371601,-41.60620465,37.87,01-Aug-22,30-Jun-23,9.84
EICHERMOT,EICHERMOTEQN,3430,3430,3356.6,3368.7,3415.9,-47.2,-1.38,3889.65,2836,579398,1961430255,13.3932359,-18.78349788,10.6,01-Aug-22,30-Jun-23,-4.59
GRASIM,GRASIMEQN,1832.7,1839.9,1815.55,1818.75,1837.7,-18.95,-1.03,1855,1527.05,153013,279184459.5,1.954177898,-19.1021905,17.17,01-Aug-22,30-Jun-23,5.94
HCLTECH,HCLTECHEQN,1137,1137,1126.4,1127.15,1138.5,-11.35,-1,1202.6,882,939441,1063559945,6.273906536,-27.79478458,19.57,01-Aug-22,30-Jun-23,-4.16
HDFCBANK,HDFCBANKEQN,1642,1651.5,1642,1646.1,1662.25,-16.15,-0.97,1757.5,1365,3370308,5554200178,6.338549075,-20.59340659,14.94,01-Aug-22,30-Jun-23,-2.3
HDFCLIFE,HDFCLIFEEQN,642.75,644.9,637.5,638.1,642.75,-4.65,-0.72,690.85,457.8,673771,431220177.7,7.635521459,-39.38401048,17.71,01-Aug-22,30-Jun-23,-1.3
HEROMOTOCO,HEROMOTOCOEQN,3061,3073,3010,3015.7,3102.1,-86.4,-2.79,3244,2246,1156556,3523378461,7.037607891,-34.269813,9.2,01-Aug-22,30-Jun-23,6.6
HINDALCO,HINDALCOEQN,460,461.2,455.5,459.1,464.1,-5,-1.08,504,358.8,1864738,854236477.8,8.908730159,-27.95429208,9.46,01-Aug-22,30-Jun-23,10.25
HINDUNILVR,HINDUNILVREQN,2538,2553.9,2536,2549.3,2551.1,-1.8,-0.07,2769.65,2393,318269,809564941.9,7.955878902,-6.531550355,-1.62,01-Aug-22,30-Jun-23,-4.74
ICICIBANK,ICICIBANKEQN,985.25,994.1,985.25,985.7,994.55,-8.85,-0.89,1008.7,796,3219951,3187365096,2.280162586,-23.83165829,20.79,01-Aug-22,30-Jun-23,6.41
INDUSINDBK,INDUSINDBKEQN,1390,1394.15,1381,1386.3,1394.6,-8.3,-0.6,1446,990,429941,596384059.3,4.128630705,-40.03030303,34.08,01-Aug-22,30-Jun-23,1.45
INFY,INFYEQN,1369.3,1371.95,1357.4,1358.15,1365.2,-7.05,-0.52,1672.6,1185.3,2108354,2877312871,18.80007174,-14.58280604,-11.98,01-Aug-22,30-Jun-23,2.22
ITC,ITCEQN,464.6,464.8,458.3,459.65,464.8,-5.15,-1.11,499.7,303.1,3390646,1563053900,8.014808885,-51.64962059,51.15,01-Aug-22,30-Jun-23,2.92
JSWSTEEL,JSWSTEELEQN,817,817.85,809.3,812.05,820.9,-8.85,-1.08,825,614.2,565668,459667473.5,1.56969697,-32.21263432,28.43,01-Aug-22,30-Jun-23,4.6
KOTAKBANK,KOTAKBANKEQN,1840.55,1847.9,1831.9,1833.5,1850,-16.5,-0.89,2064.4,1643.5,794901,1461735500,11.1848479,-11.56069364,-0.31,01-Aug-22,30-Jun-23,0.19
LT,LTEQN,2638,2644.95,2625.05,2639,2666.65,2.35,0.09,2690,1773,440718,1161463810,1.895910781,-48.84376763,46.95,01-Aug-22,30-Jun-23,7.72
LTIM,LTIMEQN,4975,4976,4885.55,4891.65,4977.45,-85.8,-1.72,5430,4121,96084,473020571.2,9.914364641,-18.70055812,-,-,30-Jun-23,-4.23
M&M,M&MEQN,1493.35,1497,1476.95,1478.35,1493.35,-15,-1,1594.8,1123.4,1013618,1507736503,7.301856032,-31.59604771,20.65,01-Aug-22,30-Jun-23,2.73
MARUTI,MARUTIEQN,9715,9793.45,9630.05,9648.75,9716.75,-68,-0.7,10036.95,8076.05,200874,1951185582,3.867708816,-19.47362882,7.92,01-Aug-22,30-Jun-23,-0.74
NESTLEIND,NESTLEINDEQN,22690,22690,22510.6,22630,22593.7,36.3,0.16,23395.35,17880,9860,222874256.8,3.271376577,-26.56599553,17.34,01-Aug-22,30-Jun-23,-1.31
NIFTY 50,NIFTY 50,19655.4,19678.25,19552.75,19554.3,19733.55,-179.25,-0.91,19991.85,16747.7,92050171,70160226227,2.188641872,-16.75812201,13.8,01-Aug-22,30-Jun-23,2.84
NTPC,NTPCEQN,225.05,225.15,219.6,219.85,225.15,-5.3,-2.35,226.65,151,8317035,1847213474,3.000220604,-45.59602649,43.87,01-Aug-22,30-Jun-23,19.03
ONGC,ONGCEQN,177,178.65,175.05,175.2,176.7,-1.5,-0.85,178.65,121.5,3696762,654289906.4,1.931150294,-44.19753086,27.67,01-Aug-22,30-Jun-23,10.23
POWERGRID,POWERGRIDEQN,252.9,253.8,249.65,250.9,251.8,-0.9,-0.36,267,186.35,5660145,1426130134,6.029962547,-34.63911994,15,01-Aug-22,30-Jun-23,-1.31
RELIANCE,RELIANCEEQN,2509.2,2512,2482.8,2484.6,2513.2,-28.6,-1.14,2856,2180,2029843,5069492296,13.00420168,-13.97247706,-2.39,01-Aug-22,30-Jun-23,-1.45
SBILIFE,SBILIFEEQN,1280,1284.9,1265,1268.1,1279.95,-11.85,-0.93,1340.35,1054,206942,262636300.5,5.390383109,-20.31309298,-2.54,01-Aug-22,30-Jun-23,-2.06
SBIN,SBINEQN,609.85,610.5,605.5,605.65,611.85,-6.2,-1.01,629.55,499.35,3405090,2070192567,3.796362481,-21.28767398,14.63,01-Aug-22,30-Jun-23,6.81
SUNPHARMA,SUNPHARMAEQN,1143.95,1144.3,1130.25,1132.4,1143.45,-11.05,-0.97,1155.35,856.8,388658,441814754.7,1.986411044,-32.16619981,24.46,01-Aug-22,30-Jun-23,8.73
TATACONSUM,TATACONSUMEQN,855,855,838.2,840.95,856.75,-15.8,-1.84,883.95,686.6,575070,485002536.6,4.864528537,-22.4803379,5.63,01-Aug-22,30-Jun-23,-0.48
TATAMOTORS,TATAMOTORSEQN,644,644.3,630.75,631,643.65,-12.65,-1.97,665.4,375.2,4014622,2553420031,5.169822663,-68.17697228,34.32,01-Aug-22,30-Jun-23,8.08
TATASTEEL,TATASTEELEQN,122.9,122.9,119.9,120.55,123.2,-2.65,-2.15,124.3,95,19792602,2386196097,3.01689461,-26.89473684,13.81,01-Aug-22,30-Jun-23,10
TCS,TCSEQN,3434.95,3446.4,3423.2,3431.25,3452.05,-20.8,-0.6,3575,2926.1,735102,2525406166,4.020979021,-17.26359318,4.65,01-Aug-22,30-Jun-23,4.54
TECHM,TECHMEQN,1143,1145.2,1127.2,1127.5,1143.5,-16,-1.4,1270.75,981.05,722518,820614268.9,11.27287035,-14.92788339,8.95,01-Aug-22,30-Jun-23,1.12
TITAN,TITANEQN,3005.65,3005.7,2974.05,2980.2,3001.9,-21.7,-0.72,3210,2269.6,266176,795341873.3,7.158878505,-31.30948185,26.33,01-Aug-22,30-Jun-23,-1.5
ULTRACEMCO,ULTRACEMCOEQN,8268,8315,8224.7,8242.5,8281.8,-39.3,-0.47,8499,6005,48451,400285688.7,3.018002118,-37.26061615,24.4,01-Aug-22,30-Jun-23,-0.16
UPL,UPLEQN,628.8,629.55,621.1,621.1,625.7,-4.6,-0.74,807,611,1134660,708663249.6,23.03593556,-1.653027823,-18.46,01-Aug-22,30-Jun-23,-9
WIPRO,WIPROEQN,405.9,405.9,402.55,403,406.95,-3.95,-0.97,444.9,352,814026,329151413.1,9.417846707,-14.48863636,-5.14,01-Aug-22,30-Jun-23,4.57
